,pca1,pca2
cluster_1,-0.7727658302204934,0.0685781853697927
cluster_2,-1.05001163075479,2.144700170607213
cluster_3,0.7267246541301121,1.6473679041427514
cluster_4,1.5080649282728071,-0.3061372072059346
cluster_5,-1.0250159794859273,0.19294108963441728
cluster_6,-1.8054510197547946,0.9875389333456099
cluster_7,0.5612064964555248,-2.3257098372341996
cluster_8,-1.5039430540137664,-0.41019493840949545
cluster_9,1.660549508126211,0.5267703093268503
cluster_10,-0.7504988706742571,-1.2601949128999483
cluster_11,0.7757326950614722,-0.9663197532695754
