__file__,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
ANTARTIDAFLMM.csv,0.0831558090771704,0.2156621740921288,0.04442537546306764,0.01663774859716857,0.028842923061911788,0.4651419775749995,0.024596068016447627,0.05639337053165005,0.028684763018681787,0.03645979056677386
AlascaBRW.csv,0.055653219764283265,0.03827707797038722,0.5658312475725157,0.019720289609189524,0.04292609666761569,0.037830782785262335,0.06372432262266498,0.033121089523900825,0.12297424281151097,0.019941630672669464
AntartidaCAAM.csv,0.26467373183886833,0.026027062486477407,0.05580773903496665,0.0281158003912099,0.05322748634649079,0.06754106472693656,0.035279542538622526,0.40102961149428307,0.03323647368640767,0.03506148745573713
AntartidaFRSM.csv,0.12266993125896548,0.06438504191248501,0.03162372507603942,0.01962579921482894,0.030979049573024713,0.5293853813026765,0.022136193044337723,0.11038925331884751,0.022914313173985026,0.04589131212480965
AntartidaHOEM.csv,0.2585132056352106,0.0258944242962861,0.06318851485132991,0.032160931294987156,0.0611020747687318,0.06249134779647013,0.04015089922171399,0.3839434250441883,0.036952529690105235,0.035602647400976795
AntartidaVAAM.csv,0.30525217271148775,0.024493993743579356,0.0505797841181856,0.025777313290856498,0.046783441940965426,0.06646764335750763,0.029458202564815815,0.3929502708088455,0.028122441430585333,0.030114736033171115
Atacama-APEX.csv,0.084530906942701,0.1343543909107823,0.048072302678030907,0.06058295963346655,0.07877348011078084,0.11768926400526442,0.06482887480304979,0.06997704400350163,0.0645973015835019,0.27659347532892065
AtacamaMeteo.csv,0.049441781048310984,0.02780231898704212,0.021285938682290246,0.06359214971309805,0.08174992073615109,0.03765953415670038,0.050781927591882534,0.03879250439098623,0.04007816598906188,0.5888157587044764
DesertoArábia.csv,0.028909816635790727,0.009662725332523854,0.015574140714725251,0.5509290914775224,0.1899563725377569,0.013672197184021267,0.09641607608595897,0.02333460914544419,0.03579990697822196,0.03574506390803443
DesertoAustralia.csv,0.04008218387327976,0.0127795747115384,0.024406961024632932,0.42749817813090013,0.22341076631081014,0.01772044930974898,0.12456816280375191,0.030391004173854187,0.060727449601577575,0.03841527005990602
DesertoNeguev.csv,0.03434973582228516,0.01274223820588615,0.026608165023586212,0.12865638494266793,0.2761580226891137,0.015791804449825624,0.3466223719471325,0.02104606708980666,0.10706810899091004,0.030957100838785896
DesertoSaara.csv,0.033997113079216525,0.009963204930350349,0.014891765817278906,0.5571284643299366,0.19844304515340225,0.015061729685717505,0.06633373160318601,0.025837137064892064,0.03239007518032216,0.04595373315569769
DesertodeGobi.csv,0.1585109445623667,0.03505292668016429,0.038197126871792594,0.1171094958632444,0.18891501848415987,0.0671716101743876,0.09307269539660369,0.08030544874611607,0.0676100085879992,0.15405472463316555
DesertodoAtacama.csv,0.028302287919453127,0.013530614284694672,0.04429994991069342,0.025580353345675173,0.1136188864341282,0.014128052720551619,0.41918166224096465,0.01618111488603272,0.3076381050438258,0.017538973213980534
GrooenlandiaSummit Station.csv,0.03726973562193097,0.6934236278290493,0.04028632617912768,0.013471503419450961,0.02271961862977954,0.08492477942606975,0.02354350671693759,0.025874098128332673,0.03182893316203266,0.026657870887288916
MarsEnviroment.csv,0.14881771552534603,0.07994438264632685,0.061532826894087185,0.06605190117585238,0.0832712871985446,0.16099690686653742,0.06161858714162107,0.17003335145400938,0.05489453982941353,0.11283850126826157
SAO JOSE DOS CORDEIROS.csv,0.01910643624101295,0.010428690827876539,0.02196421630476823,0.023712824889288886,0.09104034274202076,0.01070405494975303,0.6152968580271886,0.01190818373596541,0.17897379707555502,0.01686459520657052
SAO PAULO.csv,0.02683858363558239,0.020294395778062222,0.046840340223266407,0.023385887787165164,0.06888252072914185,0.017594859458278905,0.28501049894688213,0.01681964544424434,0.47340346261788857,0.020929805379487954
SiberiaGolomyanny.csv,0.052092228240864555,0.03693820948968829,0.610327474517262,0.01824955804973341,0.03797641205702207,0.035531215697672834,0.05352097734655132,0.03078178232923401,0.10585611991883309,0.018726022353138378
ÍndiaMawsynram.csv,0.05961831491066884,0.056174815066667556,0.08420552548191876,0.045747302144055396,0.11000064485730494,0.04573993980763029,0.17761383142437556,0.0396166240815509,0.32919943742963115,0.0520835647961966
