__file__,cluster_1,cluster_2
ANTARTIDAFLMM.csv,0.1744617941217982,0.8255382058782018
AlascaBRW.csv,0.5662489213229325,0.4337510786770675
AntartidaCAAM.csv,0.27594683590432745,0.7240531640956726
AntartidaFRSM.csv,0.11455549616813326,0.8854445038318668
AntartidaHOEM.csv,0.31527101390089085,0.6847289860991091
AntartidaVAAM.csv,0.2573375427009469,0.7426624572990531
Atacama-APEX.csv,0.3959452892823221,0.6040547107176779
AtacamaMeteo.csv,0.5084407243622435,0.4915592756377565
DesertoArábia.csv,0.7372774675411123,0.26272253245888766
DesertoAustralia.csv,0.7589386439703045,0.24106135602969558
DesertoNeguev.csv,0.8672321581629048,0.1327678418370953
DesertoSaara.csv,0.7048543002859672,0.29514569971403276
DesertodeGobi.csv,0.5047872419850075,0.49521275801499254
DesertodoAtacama.csv,0.8855919379954688,0.11440806200453127
GrooenlandiaSummit Station.csv,0.33126804420776584,0.6687319557922341
MarsEnviroment.csv,0.3129149206468971,0.6870850793531028
SAO JOSE DOS CORDEIROS.csv,0.8935401987649517,0.10645980123504833
SAO PAULO.csv,0.8343386320399275,0.16566136796007241
SiberiaGolomyanny.csv,0.554553366984983,0.4454466330150169
ÍndiaMawsynram.csv,0.7360302151819454,0.26396978481805455
