k,PC,PE,XB,FSI_approx
2,0.6446189607328023,0.5322863168188711,0.6062040642055131,0.36972069106927663
3,0.5419176572064233,0.7957828420399731,0.3613286256543081,0.3766991210865539
4,0.5031773129304152,0.9494245588680168,0.3761963968720071,0.4000448219397273
5,0.4571596518190488,1.1082145565941297,0.2691563798743934,0.4004133315197097
6,0.46755348562068205,1.149726247825438,0.19998760213099379,0.4366835354582488
7,0.44971580350087276,1.2346309969709675,0.30020364766128355,0.4200495532935608
8,0.41938137168278644,1.32820409957251,0.6001844588698604,0.3772401927744343
9,0.39376387289210546,1.425573415447887,0.5338194326749895,0.35874478454127273
10,0.3686559159995721,1.5155549897291802,0.49433940042870483,0.32846981974338163
11,0.35102429612934094,1.5966726562607674,0.4666119336633068,0.3177204974698768
