,TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
cluster_1,-12.166522338458881,-19.959473347500882,0.37334783687958106,944.3187753067405,32.242855501394935,53.189339298037275
cluster_2,-22.427700626785352,-29.190129642525154,0.5248714477858014,675.1608040374377,69.88234358726153,80.23357057695566
cluster_3,-9.115953851739146,-13.361763510066801,0.7216166541546898,1006.9297800912419,77.5523054513211,88.09579464683975
cluster_4,26.83273574614983,15.595082461066877,0.434169070458865,955.6150401228437,38.148186817166966,89.61318450933952
cluster_5,-6.897690627628375,-23.802104549408412,0.741578897611944,820.6140502859964,29.276672366202348,58.77201675054855
cluster_6,-28.096543199171585,-36.17578686101854,0.2613148051842119,778.5191204474943,39.89982785113197,54.85228354044778
cluster_7,36.47366153361186,21.706958373896505,0.09254585276553517,959.2946446147429,11.508457310299566,31.542837544323767
cluster_8,-18.93179911460426,-26.467882996268912,0.14723103021332606,953.93772441199,20.142581865434707,33.344926788010085
cluster_9,21.28112294578935,13.119257468128069,1.7861925210546539,936.1007149159078,59.674500549175804,94.52500714971627
cluster_10,16.975821991767006,1.299288856351958,0.2282281491323883,737.2994791563527,12.056887250878859,40.24760640482204
cluster_11,24.130211364582266,10.518036214297613,0.40466458028070695,950.5097797342598,24.629767063023856,65.91555364770083
