,TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
cluster_1,-11.311379800839353,-20.697518596851822,0.41647667802786204,928.8465690321735,31.370697917775964,54.72930741796912
cluster_2,-22.46218907653661,-29.397459317859145,0.5410460229489521,677.8692600741952,68.8209034736733,79.7343500399321
cluster_3,-9.92255306329065,-14.318408856046904,0.725933151022814,1006.0612215385485,76.98628042763777,87.56558955154578
cluster_4,36.16159237375188,21.369131127871103,0.10418937705578513,958.5722839307614,11.648994784840195,31.957810768199373
cluster_5,22.729657234411306,9.01676962308603,0.46317472037147234,942.1439815184578,24.88341637752704,65.94128050405772
cluster_6,-26.90806884522936,-35.44427311298266,0.268124929820597,781.090853743476,38.96732207497098,54.44277182830752
cluster_7,26.569583927810243,15.303044670161647,0.4568131950869685,955.3362044204991,38.26459012544636,89.38295470779735
cluster_8,-18.51647928149921,-26.508841501954088,0.15542685407202916,951.473518070855,20.698126034508988,34.51144571405117
cluster_9,20.882467273210835,12.743917981466588,1.9541117734617566,933.2078288920529,60.07533779224334,94.32789207688904
cluster_10,15.972020083494957,0.16294859091146385,0.258233198612008,730.7513657953875,12.462345734485162,41.1937924026204
