__file__,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
ANTARTIDAFLMM.csv,0.034462764893874,0.7189696883073777,0.05567828343965443,0.02551741223144228,0.10022551121490979,0.06514633991274184
AlascaBRW.csv,0.10817659476180182,0.06965061745816009,0.6929587831583746,0.032777188734231896,0.062287387917109506,0.034149427970322145
AntartidaCAAM.csv,0.06873847878597113,0.08741839028997259,0.10148241231719952,0.062016003586549164,0.6043666299149091,0.07597808510539854
AntartidaFRSM.csv,0.04796441976237052,0.44827125126969225,0.06467002561606157,0.04595271148464801,0.2728370369758062,0.12030455489142147
AntartidaHOEM.csv,0.07689993248895383,0.0831228417574643,0.11276202161207416,0.070244440686621,0.5817197152311109,0.07525104822377592
AntartidaVAAM.csv,0.05727207781234099,0.08268789141388991,0.0893284312614555,0.05552348417434998,0.6517395966542526,0.06344851868371097
Atacama-APEX.csv,0.09803667841291488,0.1911834406271401,0.07767145727719786,0.09504258582457262,0.11099699538930764,0.4270688424688669
AtacamaMeteo.csv,0.08037255419207591,0.05907772305368714,0.039548255858699734,0.1272965466787163,0.07386317267839992,0.619841747538421
DesertoArábia.csv,0.15257555214116583,0.023412978979419234,0.03437368834961795,0.6836088190379419,0.04609771835500609,0.059931243136848965
DesertoAustralia.csv,0.20390644398292174,0.028735525113138656,0.05166881393825629,0.5957818127048726,0.05741983104962558,0.06248757321118505
DesertoNeguev.csv,0.5172555966205351,0.03243789498114643,0.06597139645058075,0.26712182151426034,0.05058396087755462,0.06662932955592271
DesertoSaara.csv,0.12660799550236193,0.025280225429160218,0.033171315746941175,0.6888279541525636,0.05182954103906075,0.07428296812991235
DesertodeGobi.csv,0.16135868179479043,0.09957495796381984,0.07444544983571835,0.22830192424670584,0.17392030179235363,0.2623986843666119
DesertodoAtacama.csv,0.7524359392313558,0.025666223543070455,0.10137536014437527,0.05536206740437153,0.0323466818170281,0.03281372785979889
GrooenlandiaSummit Station.csv,0.07780318600682812,0.5628877011960247,0.12613858309402226,0.04466210474092621,0.08992683296980812,0.09858159199239058
MarsEnviroment.csv,0.10135469180451685,0.19764591210797114,0.1011022473372795,0.11703750830737979,0.2787255480120952,0.20413409243075753
SAO JOSE DOS CORDEIROS.csv,0.7875230667442684,0.024189333474151288,0.05737426040133263,0.06275852279304907,0.029122096599941808,0.03903271998725678
SAO PAULO.csv,0.6573602868082654,0.04493044831781808,0.14555734315187768,0.05925699317975107,0.04235413719982757,0.0505407913424601
SiberiaGolomyanny.csv,0.08627990622106882,0.06530691952176922,0.7300270381902976,0.02958120526116853,0.05729332518921645,0.031511605616479386
ÍndiaMawsynram.csv,0.41332572407749113,0.1001263211967031,0.19883525594155244,0.0954325831750622,0.08270841264466151,0.10957170296452957
