__file__,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5
ANTARTIDAFLMM.csv,0.09100751439080357,0.7085154963744282,0.04118913152019892,0.030846714109210808,0.12844114360535835
AlascaBRW.csv,0.1123617709501568,0.21339693542568997,0.3942500370053107,0.09423448977100728,0.18575676684783524
AntartidaCAAM.csv,0.11006118081351875,0.10321643216514395,0.08673215337009615,0.07710293248017742,0.6228873011710637
AntartidaFRSM.csv,0.16145745503440231,0.41944144390125176,0.05453035939763487,0.0533905565896531,0.3111801850770579
AntartidaHOEM.csv,0.10832447521696845,0.09926186212143252,0.09763718297139236,0.08703416484121783,0.6077423148489888
AntartidaVAAM.csv,0.08699554075624219,0.0922992346189345,0.06716453166625935,0.06492838250251072,0.6886123104560532
Atacama-APEX.csv,0.41411196953963175,0.21738131323287763,0.11335770494670037,0.11909549310754967,0.13605351917324052
AtacamaMeteo.csv,0.5667066921363793,0.07450819158059113,0.08649545509018941,0.1760734836148577,0.09621617757798251
DesertoArábia.csv,0.07646085939306867,0.029286644113942675,0.13003065095302538,0.7089763295345265,0.05524551600543677
DesertoAustralia.csv,0.07932762133236942,0.034481143626080644,0.1862781118749239,0.6333868582890626,0.06652626487756343
DesertoNeguev.csv,0.09955687069257736,0.04417042183737179,0.45446290545147744,0.3346554875548005,0.06715431446377285
DesertoSaara.csv,0.09333925851258296,0.03012540623432739,0.1125369983341115,0.7045877905399508,0.05941054637902741
DesertodeGobi.csv,0.33059208801763545,0.10127095673661363,0.14042973384449606,0.2510841920856012,0.17662302931565366
DesertodoAtacama.csv,0.04341999501468433,0.029248143007197747,0.8193937184592397,0.07016859131168975,0.037769552207188445
GrooenlandiaSummit Station.csv,0.12116348328105477,0.6311259640845087,0.09242424716538838,0.0500508849445746,0.10523542052447359
MarsEnviroment.csv,0.24333421712369846,0.20725324909895457,0.11159562003673679,0.13574671271620478,0.30207020102440546
SAO JOSE DOS CORDEIROS.csv,0.07800905508978187,0.0431109475658349,0.705740485474184,0.12080813646111388,0.052331375409085314
SAO PAULO.csv,0.06587760298880152,0.05361639723438836,0.7577754090097684,0.072673571136649,0.05005701963039281
SiberiaGolomyanny.csv,0.1160483515373524,0.22236782796414997,0.3753723111335277,0.09608878818991316,0.19012272117505677
ÍndiaMawsynram.csv,0.14576607581032247,0.12479382039292747,0.5136732302422624,0.11511190221425416,0.10065497134023348
