,pca1,pca2
cluster_1,-2.616735278818247,-0.33970634611339207
cluster_2,-0.9745208295925785,2.1264380224298307
cluster_3,5.37905853802465,4.708658616723796
cluster_4,0.5475117179660418,-2.1115748426801226
cluster_5,1.3453702552759874,-0.38708642255689585
cluster_6,-1.6898465576857324,0.9520363909734505
cluster_7,-0.9820790223566308,-0.9666339564264746
cluster_8,-1.1338145177161918,-0.24755029847696106
cluster_9,1.7775502919908295,0.7559913525890787
cluster_10,0.7086092893976639,1.630664194356988
