__file__,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9
ANTARTIDAFLMM.csv,0.03319065694843975,0.6362888129168989,1.1207071224926848e-05,0.0018163952136331935,0.009876471028447647,0.29000851036952896,0.008624320570627732,0.016126377162987808,0.004057248718211052
AlascaBRW.csv,0.026742719471349097,0.011903008463646133,1.905557485454606e-05,0.003026621289680205,0.8865454398574177,0.010807729550354705,0.0021296288354901013,0.008751311744441883,0.05007448521276559
AntartidaCAAM.csv,0.3659017782073754,0.032862924233236654,8.831248038665481e-06,0.007016233425235668,0.04224209153387536,0.0056429894212396605,0.005162873825199972,0.5277968272550733,0.01336545085072535
AntartidaFRSM.csv,0.07450419118278895,0.7800304577927957,9.257976035644418e-06,0.0030346291952725946,0.006762583489232698,0.033331403959023294,0.0138323636512574,0.08459451833273698,0.0039005944208567412
AntartidaHOEM.csv,0.38126125828481605,0.026571944317314744,1.032511047293786e-05,0.009733361489876314,0.0488685882510704,0.005328845032374624,0.005320254462903298,0.5058571626368349,0.017048260414336755
AntartidaVAAM.csv,0.4018416407733921,0.03320821205446741,7.532893182883194e-06,0.006497262936702102,0.030305448659516725,0.005205646434580984,0.003973460792231719,0.511021632716381,0.007939162739545123
Atacama-APEX.csv,0.030896491975197234,0.05464146826978843,0.00014482948065241012,0.015481977763682828,0.014049019286741942,0.15369439071459207,0.6884418684552308,0.018412741323002867,0.0242372127311114
AtacamaMeteo.csv,0.036919818645055724,0.017683882325287864,0.00046383709095152093,0.05973346744197152,0.007935705866371332,0.01434255161162739,0.7960452938225229,0.01814799420156112,0.048727448994650625
DesertoArábia.csv,0.015500220769130248,0.0019568853834260828,9.00186113325857e-06,0.8313084625192689,0.0038118493940540094,0.0010892756113797444,0.005732957451865096,0.0050930665529471,0.13549828045679546
DesertoAustralia.csv,0.03094969415977761,0.0033442913346664197,0.0006737849713153076,0.7284067664800238,0.011529226102183725,0.0021448577061138046,0.00671589041123216,0.008331033302742399,0.20790445553194484
DesertoNeguev.csv,0.033637942069397464,0.0037594241444331316,1.5124659583139484e-05,0.28301988110093423,0.01412478836953085,0.0026565710371761783,0.009033856767266901,0.006776580120907679,0.6469758317307703
DesertoSaara.csv,0.03986372954157709,0.003346874482054204,7.585022927168359e-06,0.8144743827996725,0.004661209872669376,0.0016058144566318117,0.01021580122940128,0.008539637557108284,0.11728496503795818
DesertodeGobi.csv,0.325265811409936,0.042046962894194136,2.6026864266128148e-05,0.27703944274334974,0.019038105378023976,0.014947427348944197,0.10839026177673029,0.06833740633745723,0.14490855524709828
DesertodoAtacama.csv,0.011373922568936315,0.0016105375618402017,1.4778451037846855e-05,0.019108146938733854,0.0313679571716927,0.00171589536081443,0.002001150646600757,0.0022929342210922087,0.9305146770792516
GrooenlandiaSummit Station.csv,0.00598781010318901,0.033583971608002285,1.289581961891701e-05,0.0009653282739511516,0.0067921054535867,0.9418783134762101,0.004477879903991536,0.003184054785312902,0.0031176405761373237
MarsEnviroment.csv,0.1617583022249183,0.26831519765900086,0.00025775868993575514,0.04152265983527932,0.02975803802540287,0.05441404344112467,0.10572189385345278,0.3060694655242878,0.03218264074659765
SAO JOSE DOS CORDEIROS.csv,0.006816633695992817,0.0017035688415422403,0.0005990021983581029,0.012080976665650323,0.010006686148635667,0.002021891377981246,0.0029435513099532297,0.0019885056310842337,0.9618391841308022
SAO PAULO.csv,0.018380672233953205,0.0067796895566131846,0.0007751096059878651,0.01535854304645325,0.0810511307743396,0.011409917068559889,0.0075705409135775606,0.006034969516228943,0.8526394272842864
SiberiaGolomyanny.csv,0.022085797084311208,0.009385416934971495,1.7644057862057894e-05,0.0022360944946387086,0.9271224116680566,0.009160505552114418,0.0017409090889937899,0.006874308157304054,0.02137691296174774
ÍndiaMawsynram.csv,0.055566460754908543,0.024985164263979297,0.055667862970322425,0.033618595713039975,0.13313571118649742,0.047697140041333894,0.0300964636244948,0.01932171247810093,0.5999108889673227
