,TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
cluster_1,1.8256870621364238,-79.60367119969682,0.07478401309283345,827.7158544227931,2.303204656052891,43.76026407356204
cluster_2,-21.33680650185233,-27.488657086045702,0.6517679653215025,672.2605256605748,69.29862319850146,81.85378708504847
cluster_3,19.99458390391233,17.174400928024486,106.8826357040293,854.8204745711241,91.0625006434808,99.6649314378808
cluster_4,33.77037590614853,19.414149006371655,0.07035885423560195,956.062800733695,12.999028221602387,36.585580473143104
cluster_5,25.29289956092267,13.840130261692543,0.308776071459701,955.6034470019284,35.75072714751019,85.94400695389858
cluster_6,-27.3891119925704,-33.01828341074893,0.1963078502704405,785.0775966710286,40.36724396923322,55.51230425137139
cluster_7,12.5803765131946,-0.6673183541193852,0.18045159309875958,673.3603954115924,13.371347477438558,44.31245868707531
cluster_8,-16.372239995715177,-21.359068337741625,0.08930412811404387,958.4425464610251,25.147430186376518,41.636998928822834
cluster_9,21.253912771818214,14.021757652017293,4.106271405623078,917.0258243908185,64.67810678129243,95.6032256378242
cluster_10,-9.550962222317045,-13.407599443781383,0.7378323480905079,1008.732361054118,76.80476557815382,87.78805083309852
