,pca1,pca2
cluster_1,-0.36584169708224146,0.05029243463300969
cluster_2,-1.7591267010371825,1.0124006488857924
cluster_3,2.2160247585140764,1.3461571391201137
cluster_4,0.5671437572815429,-2.0986083371489856
cluster_5,-0.9842741970565487,2.140629435825329
cluster_6,-2.6343746016920973,-0.34780199238853643
cluster_7,-1.0056493543386777,-0.9808585245324696
cluster_8,-1.3737173780052816,-0.351863568563539
cluster_9,1.4744486049268823,-0.15543531407692573
cluster_10,5.541170145446817,4.867865670058763
cluster_11,0.8021060098722167,1.6281323560096532
