__file__,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
ANTARTIDAFLMM.csv,0.011605747464333887,0.871330498071349,0.005488039219058107,0.0035808646266156227,0.018319021483608595,0.0699788787539477,0.019696950381087028
AlascaBRW.csv,0.9051301426338328,0.016343190313031768,0.05357492778630882,0.0033859387640898593,0.002545784367765849,0.016564256907380556,0.0024557592275904045
AntartidaCAAM.csv,0.07354080018557207,0.024783108440390157,0.03411754144606834,0.01660054156187039,0.01457914321061261,0.8236325474086394,0.012746317746847055
AntartidaFRSM.csv,0.02111186538463478,0.44684294140083275,0.012474052182265244,0.011340828290914366,0.05268817458068363,0.4039052304726846,0.051636907687984596
AntartidaHOEM.csv,0.08291594748398796,0.02097502249443786,0.03954316495819093,0.020930959816557373,0.013458611876939438,0.810202162056287,0.011974131313599347
AntartidaVAAM.csv,0.05364306078324079,0.019312705939699856,0.017472989749269675,0.011657230782032476,0.008249448383926166,0.8824428191682039,0.007221745193627234
Atacama-APEX.csv,0.01995402352401199,0.13451485623381218,0.03182402419176439,0.01887461881044638,0.020070805890603685,0.02700478363457959,0.7477568877147819
AtacamaMeteo.csv,0.008894945291911309,0.017391151727139467,0.05117438623210209,0.06950825364494007,0.009279189884926943,0.02497014977886695,0.8187819234401132
DesertoArábia.csv,0.004093248069819884,0.001466383085953504,0.13696643653014703,0.8424753802938202,0.0013632605900704706,0.007470610199362652,0.006164681230826356
DesertoAustralia.csv,0.012658896714066344,0.002894929253447936,0.21571311201528476,0.7455633294607642,0.0021992936801124015,0.013554560808031422,0.0074158780682929215
DesertoNeguev.csv,0.015186410730367063,0.003404230928956416,0.6593668853379323,0.29814057076960404,0.002109670954092789,0.011779879002889657,0.010012352276157746
DesertoSaara.csv,0.005560486709832408,0.0025401448348639304,0.12975765029885866,0.8329580878066286,0.002039712324675618,0.015558581545842142,0.011585336479298604
DesertodeGobi.csv,0.03413449802000599,0.05340000882205598,0.1827034649305452,0.31881214948801617,0.01751728743122999,0.23936223604311208,0.1540703552650346
DesertodoAtacama.csv,0.032359319321050226,0.0019524109561291092,0.9371894373592476,0.021400756221781017,0.0007481155138570215,0.004077737329001415,0.0022722232989336203
GrooenlandiaSummit Station.csv,0.029306257874048867,0.9212580311640495,0.012884983290269672,0.0034441496480329837,0.005923247828885188,0.012471850931666001,0.014711479263047805
MarsEnviroment.csv,0.0053212101113498025,0.013233726421423017,0.0057647553138292194,0.005806273536296985,0.9314131260399137,0.02513012191623367,0.013330786660953645
SAO JOSE DOS CORDEIROS.csv,0.010958307853892539,0.002278300011915302,0.9647971075383057,0.014063750558807389,0.001050337490196547,0.003298099548916674,0.0035540969979658377
SAO PAULO.csv,0.08513318802606643,0.01101861863191955,0.8653077621840497,0.016896237915448087,0.003255505299166122,0.009554160887790613,0.00883452705555943
SiberiaGolomyanny.csv,0.9436526753002954,0.013313051482991979,0.023550438368427178,0.0024858332844084965,0.0019184701042226945,0.013089053189773374,0.001990478269880891
ÍndiaMawsynram.csv,0.15596894986999346,0.052170180546315406,0.6464078758205365,0.045511822996430744,0.01894699916609203,0.037388046438597826,0.04360612516203402
