__file__,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
ANTARTIDAFLMM.csv,0.011570016144567171,0.8738551342542423,2.2378563892967034e-05,0.003518471727808224,0.06856230871270245,0.017707898441539447,0.005430511257366254,0.019333280897881173
AlascaBRW.csv,0.906286273996962,0.015870368361507552,2.3111539328601137e-05,0.0033298187448641075,0.016024570115093888,0.002452112030563333,0.05361984417178165,0.002393901039898816
AntartidaCAAM.csv,0.0743166227760474,0.024863563965174373,2.3468976666691697e-05,0.016497881952804366,0.8231290356110429,0.01424365139074104,0.03429912848306471,0.012626646844458588
AntartidaFRSM.csv,0.021184721241521768,0.4511328884895788,4.5443489084426236e-05,0.011268877535612103,0.4011059956259623,0.051528367103257235,0.012456695702830792,0.0512770108121526
AntartidaHOEM.csv,0.0838240665321114,0.02100722691830519,2.5268767218646506e-05,0.020793387427264505,0.8096219938455564,0.013153139289932862,0.03971937808035693,0.011855539139254016
AntartidaVAAM.csv,0.054472117448478644,0.01938982176300007,1.5093641866272245e-05,0.011618283352453905,0.8816833475902788,0.008069386312433173,0.017582395657392648,0.007169554234096475
Atacama-APEX.csv,0.01999924429873197,0.13432030477833817,0.00021313288900661408,0.018755660035614664,0.026839195918974,0.01973750335362594,0.032015929695118364,0.7481190290305904
AtacamaMeteo.csv,0.00885398070551117,0.017388384138581504,0.0005354149548294257,0.06911289557209624,0.024818993285356136,0.009075094828763362,0.05180077913571635,0.8184144573791458
DesertoArábia.csv,0.004075598648810698,0.0014578285330192403,1.0770435462149108e-05,0.8417185933275865,0.007427476578685202,0.0013383225120270844,0.13788540170184227,0.00608600826256694
DesertoAustralia.csv,0.012480934359397188,0.0027992993583002444,0.0006869753075156125,0.744463842542096,0.013412745976576237,0.0020903252622974777,0.21680689574193276,0.007258981451884431
DesertoNeguev.csv,0.015017432272019945,0.0033752668913847473,1.802161810098314e-05,0.2964854400257822,0.011668285343400645,0.0020698380241204613,0.6615001241196822,0.009865591705508742
DesertoSaara.csv,0.005535584136110488,0.0025273443484608855,9.470482197289802e-06,0.8324619047775142,0.015475494192655669,0.002001553089382653,0.13053913787045607,0.011449511103222778
DesertodeGobi.csv,0.03440935530081883,0.053705854687797386,4.164470939427552e-05,0.3184209143076748,0.23880872938736258,0.017265167271773817,0.18415517165367565,0.15319316268150265
DesertodoAtacama.csv,0.03205088338935368,0.0019320473808943077,1.9040579894066533e-05,0.021070482364104654,0.004020383799984594,0.0007323083733503033,0.9379464871048854,0.002228367007533025
GrooenlandiaSummit Station.csv,0.02979802950190733,0.920366524783929,4.6624727689908534e-05,0.0034833687187784813,0.012543729785808668,0.005895488240356874,0.013100063679747188,0.014766170561782534
MarsEnviroment.csv,0.005359136954618299,0.013309860418056235,4.290178029848427e-05,0.005785750586770892,0.025083788475164404,0.9313132382962982,0.005795456568004872,0.013309866920788564
SAO JOSE DOS CORDEIROS.csv,0.0107288617020729,0.0021833584825684043,0.0006884936607168858,0.013661503796523294,0.003184335891854081,0.0009628436902643703,0.9651869613085957,0.0034036414674043173
SAO PAULO.csv,0.08404292088558105,0.010965431315649816,0.0010433269184891552,0.01682513500320647,0.009534329412917706,0.003181097452208405,0.8656792501926025,0.008728508819344954
SiberiaGolomyanny.csv,0.944516599416122,0.012904172941070756,2.14985417639673e-05,0.002453749810414785,0.012626509544087434,0.001847217611961905,0.02368514207035923,0.0019451100642200278
ÍndiaMawsynram.csv,0.14417895523338395,0.04352561601551495,0.05988659422635484,0.03760690836391028,0.029632556572079475,0.012199785367134232,0.6376628570501498,0.03530672717147249
