__file__,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11
ANTARTIDAFLMM.csv,0.024258821678889184,0.7328571726283469,0.0020909963723465676,0.0014267182136245221,0.2035534281123812,0.00468837436685148,0.006600981869240706,0.012723352984036332,0.0032572694973859754,6.957519755768221e-06,0.008535926757141243
AlascaBRW.csv,0.02395369278693823,0.01115872349097395,0.01926784947646979,0.0026688335011485743,0.008118702690457965,0.0017534485160191607,0.0017731501405326042,0.008543495615827826,0.04776278103474333,1.1985678913083817e-05,0.8749873370679755
AntartidaCAAM.csv,0.30336791896388327,0.031246851228182167,0.0023001252563332915,0.005738531994651185,0.00478799851238409,0.00541316145141205,0.0044648032224084006,0.5924397463994749,0.011283963208072683,6.6138155118268856e-06,0.038950285947686
AntartidaFRSM.csv,0.062958330505963,0.7834812890412505,0.0017026790650528957,0.003351902451363384,0.022695658134156988,0.012684747101838832,0.014773667042567787,0.0883115328797488,0.003793820746866993,8.355947948939228e-06,0.006238017083241855
AntartidaHOEM.csv,0.30962385185679614,0.023649277867134614,0.002542470663856556,0.007444980733465874,0.004354580578986288,0.004928732500818457,0.004274266288391417,0.5834881595235293,0.014385020406521157,7.183488915174906e-06,0.04530147609158505
AntartidaVAAM.csv,0.2933741724071934,0.031146319612887573,0.0017761319200063773,0.0049759981366810525,0.004404587834037966,0.0038780257676441455,0.003211453812550271,0.620393017722566,0.006943668760737013,5.33457789323461e-06,0.02989128944780297
Atacama-APEX.csv,0.030697281159997408,0.05339680787657937,0.021193506148062,0.013935249881161208,0.14008487275994305,0.014790736438745908,0.6763206330811031,0.016270242383041197,0.02132936485432833,8.820589196470099e-05,0.011893099525073706
AtacamaMeteo.csv,0.04331506308341452,0.016470843828741016,0.010977537768188078,0.056038450455350344,0.012198150763286137,0.00732578779829123,0.7831422905203808,0.017369799127349796,0.04606651794883999,0.0003228910823391527,0.006772667623818927
DesertoArábia.csv,0.018940776170137848,0.0016722826709295497,0.0028693781794283807,0.8145663936429514,0.000886822042844436,0.0010815332006356543,0.005019130142954037,0.005480163408166497,0.1464364158186741,6.047409945797096e-06,0.0030410573133324366
DesertoAustralia.csv,0.03710219069048859,0.0026808126101282403,0.013793063831953759,0.705762218551551,0.0015009895296100668,0.0015706829276862426,0.005672001003491148,0.008903942226250957,0.21439694642293328,0.0006471226809100735,0.007970029524996751
DesertoNeguev.csv,0.040958318037762044,0.002984097524054505,0.009576214822025897,0.2554788976739193,0.0019274045312831012,0.0015148788756647064,0.00720233001886852,0.006595476868216184,0.6634431722890212,8.478750995804822e-06,0.010310730608188731
DesertoSaara.csv,0.051833146856725236,0.0027831348392391795,0.0023521945835956594,0.7992932869251471,0.0012645531902103998,0.0015040600230912375,0.008949884128745112,0.009095358862644634,0.119289525190861,5.129642355640413e-06,0.0036297257573847516
DesertodeGobi.csv,0.34830490378196866,0.0376959076573025,0.016269014916550258,0.2586876022296118,0.011451055300315876,0.008804911688140316,0.09737240380333187,0.0702528886512967,0.13611336977141741,1.6978738092094665e-05,0.015030963461972531
DesertodoAtacama.csv,0.01441691976113558,0.0015455994070968,0.013691990343474689,0.015155800438758069,0.0015199249875453666,0.0005757507042350982,0.0016781721396256879,0.0024183399340108954,0.9214918078698703,6.7765669409402925e-06,0.02749891784730655
GrooenlandiaSummit Station.csv,0.0053355312113730295,0.04284416381510181,0.003222763706850301,0.0008221221705355319,0.9309512706048633,0.001981526056366341,0.003825354818200525,0.002797126777976542,0.002520387163235486,8.621254780495522e-06,0.005691132420716561
MarsEnviroment.csv,0.01870953062885466,0.02248444429135052,0.0022695460887625922,0.005036634835291812,0.007294704182334497,0.8998669815683699,0.011788749785015878,0.022376752901867372,0.005379700216834005,2.7308921105746578e-05,0.004765646580213056
SAO JOSE DOS CORDEIROS.csv,0.005486635689524596,0.0009495653129848411,0.03557613989888346,0.0068495519828573655,0.0009812749495013554,0.0004554984793149359,0.0016302550004950274,0.0012560633332589306,0.9413849282688855,0.00043821318076321425,0.004991873903530827
SAO PAULO.csv,0.012642362548550442,0.00310140684735818,0.2080985022059855,0.008067145064941245,0.0045065928679535305,0.0010993264316116404,0.0032268809507082015,0.002934999584452064,0.7171768349565923,0.000277510471547019,0.03886843807029985
SiberiaGolomyanny.csv,0.018703742592748054,0.008677073120467496,0.020250207549502904,0.001904750349424438,0.0067792185264176795,0.001313784185093649,0.001403397572971816,0.006590351318003437,0.01987738727585641,1.0259335645818035e-05,0.9144898281738684
ÍndiaMawsynram.csv,0.04049297611511106,0.011480306928489963,0.4037916690102959,0.015337150963347958,0.016965988252269172,0.004763926389270585,0.013727923729456203,0.009309792519814508,0.39434832203706655,0.04662152642065403,0.043160417634224076
