,TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
cluster_1,-5.807892625723676,-12.584066112124638,0.2328124189156301,930.2725997125202,32.37603016160974,62.73614735991373
cluster_2,-28.729479152671004,-34.24122231072243,0.14906536729585496,778.6209708903676,41.06165492778129,55.29866395399803
cluster_3,21.940965660412495,16.34561317194877,13.478885804282923,885.2598995546505,75.43064634594134,97.55682109828375
cluster_4,33.86609768639798,19.49969040297135,0.04373960091161733,956.9465677726431,13.15975124687014,37.325291753553245
cluster_5,-21.498229664086182,-27.644858788034593,0.5328922874296907,670.5397094151305,69.66824181029699,81.93792172938484
cluster_6,1.9044608478925817,-79.98951411185965,0.0462720713613205,827.0311922431162,2.154099671190451,43.38074037696159
cluster_7,12.644980492743919,-0.6153357435224507,0.1326767768193553,668.7344670719197,13.068867879855432,43.836604228909
cluster_8,-18.96716709029627,-23.956544043219925,0.04950164975972293,959.9550381433343,22.287467486429634,35.627900297284896
cluster_9,24.949597648550892,14.34061063609817,0.40874225986201607,952.1033860840167,42.070515756517885,89.46892352728123
cluster_10,19.9339685201195,17.179508849196022,111.73985068499391,854.8868717309076,91.42255859689317,99.66709459362113
cluster_11,-8.05674678216086,-11.915457482723593,0.651024314499476,1009.6221512317815,77.9471196760859,88.84345528085994
