cluster_1,cluster_2,__file__
0.012926392214714621,0.9870736077852853,ANTARTIDAFLMM.csv
0.03142857053397269,0.9685714294660274,ANTARTIDAFLMM.csv
0.03822102167413117,0.9617789783258689,ANTARTIDAFLMM.csv
0.03376068877603721,0.9662393112239629,ANTARTIDAFLMM.csv
0.029015518171689535,0.9709844818283104,ANTARTIDAFLMM.csv
0.029059803017754987,0.970940196982245,ANTARTIDAFLMM.csv
0.040179757924330074,0.95982024207567,ANTARTIDAFLMM.csv
0.05352593670516407,0.946474063294836,ANTARTIDAFLMM.csv
0.013863475831335004,0.9861365241686649,ANTARTIDAFLMM.csv
0.0060367505586200075,0.9939632494413799,ANTARTIDAFLMM.csv
0.01177104170540827,0.9882289582945918,ANTARTIDAFLMM.csv
0.009605572050094793,0.9903944279499052,ANTARTIDAFLMM.csv
0.008637360389655107,0.9913626396103449,ANTARTIDAFLMM.csv
0.01115394773605701,0.9888460522639431,ANTARTIDAFLMM.csv
0.01375912952441746,0.9862408704755826,ANTARTIDAFLMM.csv
0.019202149442704326,0.9807978505572957,ANTARTIDAFLMM.csv
0.012172567363143191,0.9878274326368567,ANTARTIDAFLMM.csv
0.011157511401120609,0.9888424885988795,ANTARTIDAFLMM.csv
0.016565521661682937,0.9834344783383171,ANTARTIDAFLMM.csv
0.015553934264775728,0.9844460657352242,ANTARTIDAFLMM.csv
0.01506483802959533,0.9849351619704048,ANTARTIDAFLMM.csv
0.02394855848731026,0.9760514415126897,ANTARTIDAFLMM.csv
0.024955828194932837,0.9750441718050673,ANTARTIDAFLMM.csv
0.01888778906658988,0.9811122109334101,ANTARTIDAFLMM.csv
0.020928849374482115,0.979071150625518,ANTARTIDAFLMM.csv
0.016405702534862857,0.983594297465137,ANTARTIDAFLMM.csv
0.029125671328675492,0.9708743286713245,ANTARTIDAFLMM.csv
0.0400312288356636,0.9599687711643364,ANTARTIDAFLMM.csv
0.016087093729597886,0.9839129062704022,ANTARTIDAFLMM.csv
0.0072870095984885275,0.9927129904015116,ANTARTIDAFLMM.csv
0.009053201054423365,0.9909467989455766,ANTARTIDAFLMM.csv
0.018337187740437667,0.9816628122595622,ANTARTIDAFLMM.csv
0.054127939715949154,0.9458720602840509,ANTARTIDAFLMM.csv
0.020685378362609464,0.9793146216373906,ANTARTIDAFLMM.csv
0.016238491430442686,0.9837615085695574,ANTARTIDAFLMM.csv
0.007264074527414214,0.9927359254725859,ANTARTIDAFLMM.csv
0.029162014924394707,0.9708379850756054,ANTARTIDAFLMM.csv
0.013958990967768727,0.9860410090322312,ANTARTIDAFLMM.csv
0.009250043989695228,0.9907499560103048,ANTARTIDAFLMM.csv
0.005331922165469061,0.9946680778345309,ANTARTIDAFLMM.csv
0.009389071051588167,0.9906109289484117,ANTARTIDAFLMM.csv
0.02210093405399178,0.9778990659460082,ANTARTIDAFLMM.csv
0.017828695050373735,0.9821713049496262,ANTARTIDAFLMM.csv
0.057297994148525155,0.9427020058514748,ANTARTIDAFLMM.csv
0.00815866154304044,0.9918413384569594,ANTARTIDAFLMM.csv
0.005762334280728251,0.9942376657192717,ANTARTIDAFLMM.csv
0.008325735209014829,0.9916742647909852,ANTARTIDAFLMM.csv
0.011429801189754613,0.9885701988102454,ANTARTIDAFLMM.csv
0.05545168392120161,0.9445483160787984,ANTARTIDAFLMM.csv
0.24566337767689167,0.7543366223231084,ANTARTIDAFLMM.csv
0.05061222555403551,0.9493877744459646,ANTARTIDAFLMM.csv
0.0036677137515954347,0.9963322862484046,ANTARTIDAFLMM.csv
0.004900393843081402,0.9950996061569186,ANTARTIDAFLMM.csv
0.00649737008304735,0.9935026299169526,ANTARTIDAFLMM.csv
0.007639169379706969,0.992360830620293,ANTARTIDAFLMM.csv
0.006922283921167216,0.9930777160788328,ANTARTIDAFLMM.csv
0.01324047475335362,0.9867595252466463,ANTARTIDAFLMM.csv
0.007042041080098502,0.9929579589199015,ANTARTIDAFLMM.csv
0.006183335113783987,0.9938166648862159,ANTARTIDAFLMM.csv
0.009464980683311414,0.9905350193166886,ANTARTIDAFLMM.csv
0.010469022203474024,0.9895309777965261,ANTARTIDAFLMM.csv
0.014054118738059843,0.9859458812619402,ANTARTIDAFLMM.csv
0.018490405352937358,0.9815095946470627,ANTARTIDAFLMM.csv
0.023622528396587072,0.9763774716034129,ANTARTIDAFLMM.csv
0.020400442916114293,0.9795995570838858,ANTARTIDAFLMM.csv
0.021401410897865705,0.9785985891021343,ANTARTIDAFLMM.csv
0.02125098216426513,0.978749017835735,ANTARTIDAFLMM.csv
0.029461856172638842,0.9705381438273611,ANTARTIDAFLMM.csv
0.022150707215063882,0.9778492927849363,ANTARTIDAFLMM.csv
0.0432568724315837,0.9567431275684162,ANTARTIDAFLMM.csv
0.07878644517595476,0.9212135548240453,ANTARTIDAFLMM.csv
0.030331932025898154,0.9696680679741018,ANTARTIDAFLMM.csv
0.033317217939682085,0.9666827820603179,ANTARTIDAFLMM.csv
0.017619602013333967,0.982380397986666,ANTARTIDAFLMM.csv
0.009918608269109218,0.9900813917308908,ANTARTIDAFLMM.csv
0.012480992923900378,0.9875190070760996,ANTARTIDAFLMM.csv
0.015379043376005031,0.9846209566239951,ANTARTIDAFLMM.csv
0.02021675762379983,0.9797832423762002,ANTARTIDAFLMM.csv
0.01795872260261373,0.9820412773973862,ANTARTIDAFLMM.csv
0.025013619370117188,0.9749863806298829,ANTARTIDAFLMM.csv
0.03291433944983084,0.9670856605501693,ANTARTIDAFLMM.csv
0.04109899427733989,0.9589010057226601,ANTARTIDAFLMM.csv
0.149000673142839,0.850999326857161,ANTARTIDAFLMM.csv
0.03641387108031952,0.9635861289196804,ANTARTIDAFLMM.csv
0.01992156960295423,0.9800784303970458,ANTARTIDAFLMM.csv
0.023862013285225213,0.9761379867147747,ANTARTIDAFLMM.csv
0.020478071942627084,0.9795219280573729,ANTARTIDAFLMM.csv
0.016017324394512714,0.9839826756054874,ANTARTIDAFLMM.csv
0.01625334700983554,0.9837466529901646,ANTARTIDAFLMM.csv
0.032008486533109184,0.9679915134668908,ANTARTIDAFLMM.csv
0.05054023756140818,0.9494597624385918,ANTARTIDAFLMM.csv
0.027447012307904455,0.9725529876920955,ANTARTIDAFLMM.csv
0.015537110079646992,0.9844628899203529,ANTARTIDAFLMM.csv
0.018034321376251432,0.9819656786237486,ANTARTIDAFLMM.csv
0.01877003952012647,0.9812299604798735,ANTARTIDAFLMM.csv
0.01829691169166614,0.9817030883083339,ANTARTIDAFLMM.csv
0.022225595651192528,0.9777744043488074,ANTARTIDAFLMM.csv
0.029537697667443612,0.9704623023325564,ANTARTIDAFLMM.csv
0.04226871534118536,0.9577312846588146,ANTARTIDAFLMM.csv
0.04721547651832098,0.952784523481679,ANTARTIDAFLMM.csv
0.031035856342579576,0.9689641436574203,ANTARTIDAFLMM.csv
0.03155498008667964,0.9684450199133204,ANTARTIDAFLMM.csv
0.019710423490540127,0.9802895765094598,ANTARTIDAFLMM.csv
0.026899446940730317,0.9731005530592696,ANTARTIDAFLMM.csv
0.04165230440284276,0.9583476955971573,ANTARTIDAFLMM.csv
0.08774358948907046,0.9122564105109295,ANTARTIDAFLMM.csv
0.03197059794804074,0.9680294020519593,ANTARTIDAFLMM.csv
0.04708657495201614,0.9529134250479838,ANTARTIDAFLMM.csv
0.03517155818370078,0.9648284418162991,ANTARTIDAFLMM.csv
0.057814311137635445,0.9421856888623645,ANTARTIDAFLMM.csv
0.03564074840352813,0.964359251596472,ANTARTIDAFLMM.csv
0.04269485177691975,0.9573051482230801,ANTARTIDAFLMM.csv
0.03180461060330443,0.9681953893966956,ANTARTIDAFLMM.csv
0.031715004213226095,0.968284995786774,ANTARTIDAFLMM.csv
0.046554364333144894,0.9534456356668551,ANTARTIDAFLMM.csv
0.03921520662013575,0.9607847933798642,ANTARTIDAFLMM.csv
0.03507696411903937,0.9649230358809605,ANTARTIDAFLMM.csv
0.051104883673782485,0.9488951163262174,ANTARTIDAFLMM.csv
0.02414007268137044,0.9758599273186296,ANTARTIDAFLMM.csv
