__file__,cluster_1,cluster_2,cluster_3
ANTARTIDAFLMM.csv,0.015066520455762572,0.9486302650005362,0.03630321454370137
AlascaBRW.csv,0.040944560393203766,0.1903557485170681,0.7686996910897281
AntartidaCAAM.csv,0.16140984757237953,0.7056385366730288,0.1329516157545918
AntartidaFRSM.csv,0.01243880638155812,0.9772980383892842,0.010263155229157628
AntartidaHOEM.csv,0.19481780406302687,0.6439003284801649,0.16128186745680825
AntartidaVAAM.csv,0.14388649558152042,0.7541870773144641,0.10192642710401542
Atacama-APEX.csv,0.3295273711497427,0.4861178165146397,0.18435481233561768
AtacamaMeteo.csv,0.8007915808025107,0.10347590826080277,0.09573251093668662
DesertoArábia.csv,0.8781120754609922,0.01258964884377575,0.10929827569523201
DesertoAustralia.csv,0.7898828265035597,0.01653985441944941,0.19357731907699088
DesertoNeguev.csv,0.4537959630072935,0.017543929418949732,0.5286601075737568
DesertoSaara.csv,0.8930024107533288,0.010064491177081707,0.09693309806958947
DesertodeGobi.csv,0.5835469131070643,0.2722370661055439,0.14421602078739182
DesertodoAtacama.csv,0.0524145079790664,0.0064516672412632025,0.9411338247796703
GrooenlandiaSummit Station.csv,0.06677810537189631,0.7150590016278098,0.21816289300029396
MarsEnviroment.csv,0.1806122472375838,0.728040582271471,0.09134717049094537
SAO JOSE DOS CORDEIROS.csv,0.1197013907272501,0.015750568209929455,0.8645480410628205
SAO PAULO.csv,0.040929189182857366,0.014650563116835243,0.9444202477003074
SiberiaGolomyanny.csv,0.04182543247973916,0.18686135354357913,0.7713132139766817
ÍndiaMawsynram.csv,0.09697567194769663,0.06818237749261606,0.8348419505596874
