__file__,cluster_1,cluster_2
ANTARTIDAFLMM.csv,0.03575852947559376,0.9642414705244062
AlascaBRW.csv,0.6046507637823987,0.3953492362176013
AntartidaCAAM.csv,0.16685513841313632,0.8331448615868636
AntartidaFRSM.csv,0.014088690622455624,0.9859113093775443
AntartidaHOEM.csv,0.21696608588165,0.78303391411835
AntartidaVAAM.csv,0.13965585076137707,0.8603441492386229
Atacama-APEX.csv,0.2925559212419566,0.7074440787580434
AtacamaMeteo.csv,0.5440200211334533,0.4559799788665468
DesertoArábia.csv,0.893653640825559,0.106346359174441
DesertoAustralia.csv,0.9123978012876102,0.0876021987123899
DesertoNeguev.csv,0.9733707074590368,0.026629292540963256
DesertoSaara.csv,0.8592831361942886,0.1407168638057114
DesertodeGobi.csv,0.5452348915417926,0.4547651084582074
DesertodoAtacama.csv,0.9825450738702616,0.017454926129738448
GrooenlandiaSummit Station.csv,0.1760967562574831,0.8239032437425169
MarsEnviroment.csv,0.15323531649483169,0.8467646835051682
SAO JOSE DOS CORDEIROS.csv,0.9864606468802778,0.013539353119722205
SAO PAULO.csv,0.9524759816867127,0.04752401831328731
SiberiaGolomyanny.csv,0.5914038879759397,0.4085961120240603
ÍndiaMawsynram.csv,0.855915959697147,0.14408404030285313
