,TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
cluster_1,-8.797146236877206,-12.587165459115763,0.6610675735619975,1010.3047907733253,77.05589235546347,88.13352062694058
cluster_2,12.485300353356926,-0.6268727915194221,0.11618374558312738,663.3198586572431,13.945583038869458,46.53674911660775
cluster_3,24.007558357258503,13.815322681313035,0.8727686930470782,943.434689801523,44.48289851454253,89.76369991262025
cluster_4,-15.351193341355627,-20.611762936221453,0.05459286000808228,954.5529482551143,25.87414761331734,45.64961893301249
cluster_5,21.836009353078737,17.031956352299325,24.80405300077937,875.851831644583,80.12626656274355,98.45985970381886
cluster_6,-20.422237632917145,-26.578294036061074,0.6831484049930332,662.7153259361996,68.75080906148877,82.89667128987514
cluster_7,32.432753537735636,18.159433962264064,0.01817020440261574,953.0294909591195,13.808667452830477,39.77525550314472
cluster_8,2.0347991142045223,-80.43087630496726,-4.196643033083092e-14,828.8946535906357,1.8649161657693512,45.58715596330278
cluster_9,-28.2836553256966,-33.509488801504745,0.09938451017278949,781.2064113523683,40.45990767652592,54.365361600273566
cluster_10,19.883108108108118,17.222972972972975,116.82432432432431,854.2418918918919,91.92567567567569,99.69594594594587
