,TempMax,TempMin,Precipitação,PaMedia,UmidadeMin,UmidadeMax
cluster_1,33.018097697438975,18.69965569184411,0.014525500322864371,953.1642672692058,13.104260813428336,37.39100494942979
cluster_2,-28.230954003407057,-33.468057921635655,0.10003407155036603,781.4063202725728,40.47308347529815,54.42725724020444
cluster_3,-9.328569265707875,-13.056714610143818,0.5707494322482616,1010.6229825889477,76.98168054504154,87.91097653292948
cluster_4,21.82272883688904,14.543891947694334,4.183448038540985,919.0674122505161,65.15984170681354,96.28183069511357
cluster_5,12.479372908226214,-0.6396688391756067,0.1146908578475423,664.1610709881973,13.924431918266883,46.4530561916505
cluster_6,2.0347991142045223,-80.43087630496726,-4.196643033083092e-14,828.8946535906357,1.8649161657693512,45.58715596330278
cluster_7,19.706363636363633,17.184545454545443,130.17636363636365,855.6190909090909,92.49999999999999,99.68181818181816
cluster_8,-20.39124104460356,-26.547423156921703,0.7132424312456344,662.2814421076957,68.7573376473308,82.93413450427545
cluster_9,-15.460669160011962,-20.686333771353514,0.05436166986764235,955.0528959870616,25.84989386434858,45.43899727079759
cluster_10,21.30089126559717,17.20267379679141,40.80409982174689,863.4650623885918,83.9786096256685,99.05169340463473
cluster_11,24.88003319502058,13.38876348547706,0.18253941908717408,952.74755186722,35.323651452282164,85.42821576763467
